Scenario,Period (Days),Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,VaR 95%,VaR 99%,Win Rate,Signal Precision,Signal Recall,Signal F1
baseline,1492,13098.14%,128.12%,170.58%,0.75,-77.22%,-14.56%,-29.06%,11.13%,56.57%,100.00%,0.72
crisis,52,109.63%,3512.81%,272.97%,12.87,-43.34%,-20.15%,-25.37%,13.46%,30.77%,100.00%,0.47
recovery,78,160.13%,2094.74%,178.75%,11.72,-29.51%,-15.01%,-18.52%,16.67%,27.27%,60.00%,0.37
bull_market,1492,469.21%,34.14%,175.19%,0.19,-86.77%,-16.74%,-29.65%,11.66%,52.14%,98.92%,0.68
bear_market,1492,2550.43%,73.94%,121.06%,0.61,-82.38%,0.00%,-23.93%,5.56%,77.07%,65.41%,0.71
